순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
11,9788937460258,17386,젊은 베르테르의 슬픔,"8,100원",450원,요한볼프강폰 괴테 저/박찬기 역,민음사,"질풍노도의 시대를 이끈 청년 괴테의 대표작
청춘의 열병, 이룰 수 없는 사랑의 상징이 된 이름
세계적인 베스트셀러가 된 최초의 독일소설

“인간을 행복하게 만드는 것이 동시에 불행의 원천이 될 수 있다는 사실은 과연 필연인 것일까?”

괴테는 25세 되던 해 봄, 이미 약혼자가 있었던 샤로테 부프를 사랑하게 되었다. 그녀를 향한 이룰 수 없는 사랑에 절망한 나머지 괴테는 도망치다시피 귀향했다. 그 후 그의 친구 예루살렘이 남편이 있는 부인에게 연정을 품다가 자살했다는 소식을 들었다. 괴테는 마신에 홀린 것 같은 상태에서 예루살렘의 이야기와 자신의 체험을 엮어 불과 14주 만에 『젊은 베르테르의 슬픔』이라는 문제작을 완성했다.",1,국내도서-소설/시/희곡
12,9788954600200,1525142,변신,"9,900원",550원,프란츠 카프카 저/루이스 스카파티 그림/이재황 역,문학동네,"어느 날 아침 그레고르 잠자가 불안한 꿈에서 깨어났을 때 그는 침대 속에서 한 마리의 흉측한 갑충으로 변해 있는 자신의 모습을 발견했다. 그는 철갑처럼 단단한 등껍질을 등에 대고 누워 있었다. 머리를 약간 쳐들어보니 불룩하게 솟은 갈색의 배가 보였고, 그 배는 다시 활 모양으로 휜 각질의 칸들로 나위어 있었다. 이불은 금방이라도 주르륵 미끄러질 듯 둥그런 언덕 같은 배 위에 가까스로 덮여 있었다. 몸뚱이에 비해 형편없이 가느다란 수많은 다리들은 애처롭게 버둥거리며 그의 눈앞에서 어른거렸다. 
‘이게 대체 어찌된 일...",1,국내도서-소설/시/희곡
13,9791187011590,34705631,데미안 : 오리지널 초판본 표지디자인,"2,880원",160원,헤르만 헤세 저/이미영 역/김선형 해설,코너스톤(도서),"내면에 우러나오는 진정한 운명을 위해,
자기 자신을 찾아 헤맸던 한 어린 영혼의 치열한 여정!
에밀 싱클레어의 이름으로 출간되었던 『데미안』의 오리지널 초판본 표지!

헤르만 헤세의 ‘영혼의 전기’로 소개되는 『데미안』은 깊이 있는 정신분석과 자기 탐구로 가시밭 같은 자아 성찰의 길을 섬세하게 그려낸 그의 대표작이다. 이 책을 1919년 오리지널 초판본의 우아한 표지로 다시 만나보자. 

평화와 질서가 있는 밝은 세계에 살던 싱클레어는 불량소년 프란츠 크로머에게 거짓말을 했다가 지속해서 돈을 빼앗기고 괴롭힘 당한다. 자신이 금지된 어두운 세계에 발을 들인 것에 괴로워하는 싱클레어를 신비로운 전학생 막스 데미안이 구해주고, 카인과 아벨, 선과 악, 빛과 어둠 등 지금까지 의심 없이 받아들였던 이원적인 종교관을 새롭게 해석하도록 이끌어준다.",1,국내도서-소설/시/희곡
14,9788932920238,89968550,깊이에의 강요,"15,120원",840원,파트리크 쥐스킨트 저/김인순 역,열린책들,"오래도록 깊은 여운을 남기는 쥐스킨트의 단편 소설집 

파트리크 쥐스킨트의 단편 소설인 「깊이에의 강요」,「승부」,「장인(匠人) 뮈사르의 유언」과 에세이 「문학의 건망증」등 총 네 편의 작품을 한데 묶었다. 짧은 이야기 뒤로 남겨진 긴 여백 속에서 작가의 세상을 보는 시각을 읽을 수 있는 작품집이다.",1,국내도서-소설/시/희곡
15,9791187011606,34705576,수레바퀴 아래서 : 오리지널 초판본 표지디자인,"2,880원",160원,헤르만 헤세 저/박지희 역/김선형 해설,코너스톤(도서),"강압적인 교육과정과 편협한 어른들이 주는 부담 속에
파괴되어 가는 어린 영혼의 소리 없는 절규!
1906년 오리지널 초판본 표지로 만나는 『수레바퀴 아래서』!

성적 위주의 교육 속에서 경쟁에 지쳐 자신을 잃어버린 모든 이들에게 공감과 위로를 전하는 『수레바퀴 아래서』는 헤르만 헤세 자신의 청소년기를 반영한 자전적 소설이다. 이제 『수레바퀴 아래서』를 1906년 오리지널 초판본 표지로 소장해보자!
총명한 소년 한스는 주위 어른들의 기대에 부응하기 위해 어려운 신학교 입학시험 공부에 매진한다. 좋은 성적으로 시험을 통과한 한스는 신학교에서 감수성이 예민하고 활동적인 하일너를 만나 우정을 나누지만 그만큼 공부에 흥미를 잃어가고, 교사들은 이런 두 사람을 더욱 엄격하게 관리한다. 이에 반항해 신학교를 무단이탈한 하일너는 결국 퇴학당하고, 홀로 남은 한스는 성적에 대한 스트레스와 교사들의 질타, 친구들의 무관심을 견디지 못하고 신학교를 떠나는데….",1,국내도서-소설/시/희곡
16,9791193904213,146341917,내게 남은 스물다섯 번의 계절,"15,120원",840원,슈테판 셰퍼 저/전은경 역,서삼독,"『내게 남은 스물다섯 번의 계절』은 평범한 비즈니스맨이자 두 아이의 아빠‘나’가 혼자 시골 별장에 내려갔다가 괴짜 농부 카를을 만나면서 펼쳐지는 아주 특별한 이틀을 담은 소설이다. 바쁘게 살고는 있는데 엉뚱한 방향으로 가는 건 아닌지 물음표가 떠오를 때, 목표를 향해 경주마처럼 달려왔지만 정작 내 마음이 어떤지 모르겠을 때, 문득 하늘을 올려다보는 게 아득하게 오랜만이라는 사실을 깨달을 때, 이미 한 방향으로 너무 오랫동안 와버린 건 아닌지 혼란스러운 어른들에게 다시 순수한 삶의 정수에 가닿는 길을 안내해 줄 완벽한 이정표가 되어준다.

주인공 ‘나’는 카를과 호수에서 맨몸으로 수영하고, 감자를 손으로 만져 골라내고, 엄마 잃은 새끼고양이를 돌보며 그 주말이 앞으로 남은 스물다섯 해의 여름을 영영 바꿔놓으리라는 것을 직감한다. 그 이틀은 삶에 필요한 모든 것이 처음부터 그 자리에 있었음을 머리가 아닌 마음으로 느끼는 시간이었다.",1,국내도서-소설/시/희곡
17,9791194591351,143302733,초판본 예언자,"2,690원",140원,칼린 지브란 저/유정란 역,더스토리,"칼릴 지브란의 일생일대 역작!《예언자》 

작은 나라 레바논을 빛낸 20세기 예언자
세계 3대 베스트셀러 작가 칼릴 지브란

칼릴 지브란의 《예언자》는 20세기에 영어로 출간된 책 중에 성경 다음으로 가장 많이 팔린 책으로 기록되었다. 워낙 유명하다 보니 국내의 다수 번역자들에 의해 출판되었고 오랫동안 읽혀 왔다. 

1923년, 국경의 관념과 종교의 사상을 뛰어넘은 칼릴 지브란의 《예언자》가 세상 밖으로 나왔다. 아름다운 말과 깊이 있는 메시지로 신비로운 분위기를 풍기며 당대 독자들과 평론가들을 사로잡았다. 세상의 본질적인 문제는 시간이 지나도 바뀌지 않는다. 바로 《예언자》는 사랑과 결혼, 기쁨과 슬픔, 이성과 열정 등 삶의 보편적 화두를 다루며 인생을 관통하는 잠언집이다. 때문에 과거보다는 현재가, 현재보다는 미래에 가치가 더해지고 빛을 발하는 책이다.",1,국내도서-소설/시/희곡
18,9788937461804,2969695,카타리나 블룸의 잃어버린 명예,"8,100원",450원,하린리히 뵐 저/김연수 역,민음사,"1972년 노벨 문학상 수상 작가 하인리히 뵐의 문제작 『카타리나 블룸의 잃어버린 명예』. 발표한 지 6주 만에 15만 부가 팔리고 뉴저먼시네마의 기수 폴커 슐렌도르프에 의해 영화화되어 크게 흥행했던 소설로,  현재까지도 언론의 폐해를 다룰 때 언제나 인용되는 고전이다.

1974년 2월 24일 일요일, 한 일간지 기자가 살해당하는 사건이 발생한다. 살인범은 카타리나 블룸이라는 27세의 평범한 여인. 그녀는 제 발로 경찰을 찾아와 자신이 그를 총으로 쏘아 죽였다고 자백한다.",1,국내도서-소설/시/희곡
19,9788937460289,63681,삶의 한가운데,"11,700원",650원,루이제 린저 저,민음사,"“사랑이란 누군가에게 속해 있다는 감정이야. 오로지, 그리고 철저하게 말이야.”

루이제 린저의 『삶의 한가운데』(1950년)는 그녀의 『도덕의 모험』(1957년)과 함께 ’니나 소설’이라고 불린다. 전 세계의 젊은이들이 루이제 린저가 창조해 낸 ’니나 부슈만’이라는 인물에 열광한 이유는, 작가가 ‘니나’를 통해서 전후 독일의 암담하고 절망적인 상황에서도 참된 삶을 추구하는 여성의 한 전형을 성공적으로 보여주었기 때문이다. 또한, 루이제 린저는 이 작품을 통해서 2차 세계대전 이후 침체되어 있던 독일 문단에 새로운 활력을 불어넣었으며, 현재까지도 가장 많이 읽히는 작가가 되었다.",1,국내도서-소설/시/희곡
20,9788934940715,116224054,리스본행 야간열차,"17,820원",990원,파스칼 메르시어 저/전은경 역,비채,"“문학에 새로운 예술적 전통을 세운 경이로운 작품” _라 캥젠느 리테레르
끝없는 밤을 가로지르는 야간열차처럼, 잊을 수 없는 체험으로 간직될 이야기

단조로운 바퀴 소리, 덜컹거리는 사물들… 삶에 회의를 느끼고 충동적으로 올라탄 열차가 데려다준 도시 리스본. 경사진 골목길을 달리는 오래된 전차와 낯선 언어를 헤집고 만난 새로운 사람들. 파스칼 메르시어의 『리스본행 야간열차』가 비채에서 새롭게 출간되었다. 독일어권 국가에서만 200만 독자의 사랑을 받고 30개 이상 언어로 번역되었으며, 한국에선 2007년 처음 출간된 이후 지금까지도 꾸준히 회자되는 현대고전으로 자리 잡은 대작. 2022년 새로 출간하는 『리스본행 야간열차』는 그 품격에 맞도록 무게감을 더한 양장 제본과 모던한 표지로 세련되게 단장하였으며, 본문의 시작부터 끝까지 세심히 살펴 오늘의 감수성으로 다듬었다. ",1,국내도서-소설/시/희곡
21,9791139716542,124822504,파우스트,"15,750원",870원,요한 볼프강 폰 괴테 저/안인희 역,현대지성,"괴테가 쓴 원문의 리듬을 고스란히 살려낸, 가장 희곡다운 번역
국내 유일, 거장들의 컬러 명화와 함께 읽는 완역본

*니체, 아인슈타인, 융, 에머슨, 카프카… 세계사의 거장들이 극찬한 불멸의 작품
*하버드·서울대 권장 도서, 노벨연구소 선정 최고의 책 100선, 미국대학위원회 SAT 추천도서

“온갖 학문에 통달하고 마법까지 익혔지만, 자신의 능력에 한계를 느껴 절망한 노학자(老學者) 파우스트. 이런 그 앞에 메피스토펠레스라는 악마가 나타나 솔깃한 제안을 한다. 유혹에 넘어간 파우스트는 자기 영혼을 걸고 악마와 내기한 뒤 욕망을 마음껏 채워나간다….”",1,국내도서-소설/시/희곡
22,9788937462733,5819537,유리알 유희 1,"11,700원",650원,헤르만 헤세 저/이영임 역,민음사,"헤르만 헤세가 10여 년에 걸쳐 집필한 마지막 역작이다. 그는 두 번의 세계대전을 겪으면서 인류 최대의 비극을 몰고 온 정신적 문제가 무엇인지를 고민하기 시작했고, 욕망과 금욕, 혼돈과 질서, 삶과 죽음, 동양과 서양, 선과 악 등 양극의 문제를 풀기 위한 평생의 고민을 이 소설 속에 풀어 놓았다. 따라서 이 책은 ""그 답을 찾아가는 과정이요 방법론""으로 볼 수 있다.",1,국내도서-소설/시/희곡
23,9788932920290,89968530,향수,"15,120원",840원,파트리크 쥐스킨트 저/강명순 역,열린책들,"전 세계 2천만 부의 판매를 기록한 쥐스킨트의 대표작 

파트리크 쥐스킨트의 장편소설『향수』는 냄새에 대한 탁월한 재능을 가지고 태어났으나 정작 자신은 아무런 냄새도 가지지 못한, 한 악마적 천재의 기이한 일대기를 그린 작품이다. 쥐스킨트 특유의 치밀한 필치로 복원된 18세기 프랑스를 배경으로 지상 최고의 향기를 얻기 위해 스물다섯 번에 걸친 살인도 마다하지 않는 집념의 일생이 흥미진진하게 펼쳐진다. 후각을 통해 세계를 인식하고 타인을 지배한다는 독특한 발상과 그것을 형상화시키는 쥐스킨트의 탁월한 작가적 역량이 결합된 이 작품은 전 세계 언론으로부터 재미와 문학성을 모두 갖춘 보기 드문 작품이라는 찬사를 받았다.",1,국내도서-소설/시/희곡
24,9791194591412,143303540,초판본 크눌프,"2,690원",140원,헤르만 헤세 저/두행숙 역,더스토리,"‘이 친구 크눌프를 있는 모습 그대로 사랑해 주오!
질책도 동정도 말고, 그저 무해하고 자유로운 삶으로 바라봐 주오!’

고독한 한 방랑자의 삶을 통해 자유에 대한 그리움을 일깨우고
유능·무능으로만 사람을 판단하는 사회에 질문을 던지는 소설 《크눌프》
《데미안》 《유리알 유희》의 노벨문학상 수상작가 헤르만 헤세의 중기 대표작

주인공 크눌프는 어린 시절 학교를 그만두고 집을 떠나서 한참을 떠돌다가 고향으로 되돌아가는 길이다. 명문 라틴어 학교에 다니던 모범생이 갑자기 사라진 것이 궁금하고 안타까웠던 옛 친구들은, 여전히 자유와 낭만을 간직한 크눌프의 방문을 반기면서도, 자신들의 안정적인 직장과 가정을 크눌프에게 과시하려고 한다. 크눌프 역시 친구들이 짊어진 무거운 의무감을 거부하면서도 때때로 자신의 삶이 한심하게 느껴져 고민한다. 더구나 지금은 그의 앞으로 ‘자유로운 방랑’의 대가로 죽음이 다가오고 있었다.",1,국내도서-소설/시/희곡
25,9788937462740,5819538,유리알 유희 2,"10,800원",600원,헤르만 헤세 저/이영임 역,민음사,"헤르만 헤세가 10여 년에 걸쳐 집필한 마지막 역작이다. 그는 두 번의 세계대전을 겪으면서 인류 최대의 비극을 몰고 온 정신적 문제가 무엇인지를 고민하기 시작했고, 욕망과 금욕, 혼돈과 질서, 삶과 죽음, 동양과 서양, 선과 악 등 양극의 문제를 풀기 위한 평생의 고민을 이 소설 속에 풀어 놓았다. 따라서 이 책은 ""그 답을 찾아가는 과정이요 방법론""으로 볼 수 있다. 1943년에 출간된 [유리알 유희]는 21세기에도 중요한 화두인 지식 정보 사회, 멀티미디어, 판타지, 가상현실, 정신 건강과 명상을 중요한 모티프로 삼고 있다는 점...",1,국내도서-소설/시/희곡
26,9788954620147,8156036,데미안,"7,200원",400원,헤르만 헤세 저/안인희 역,문학동네,"누구나 한번쯤 ‘데미안’을 만나고
누구나 한번쯤 ‘데미안’이 된다!

헤르만 헤세의 소설 『데미안』은 1917년 집필되어 2년 뒤 에밀 싱클레어라는 가명으로 출간되었다. 토마스 만이 말한 바 있듯이 1차 세계대전 이후의 젊은 세대에게 “감전되는 듯한 충격을 주면서 이루 말할 수 없는 정교함으로 시대의 신경을 건드린” 이 작품은 그 영향력 면에서 괴테의 『젊은 베르테르의 슬픔』과 비교될 만하다. 『데미안』은 치밀하게 직조된 놀라운 이중구조의 작품이다. 아프고 괴로운 성장 과정이 쉽고도 보편적인 이미지로 바뀌어 단단한 보석처럼 빛을 낸다. 이 소설이 발표된 이후로 오늘날까지 다함없는 사랑을 받는 이유이다. 그리고 표면적인 성장 이야기 아래에 상당히 난해한 심층구조가 깔려 있다. 단순하면서도 복잡한 이런 구조 덕분에 한 젊은이의 자기고백으로 읽히는 이 소설은 청소년 소설을 넘어 심오한 깊이를 지닌 고전작품으로 승화한다.",1,국내도서-소설/시/희곡
27,9788937462467,3819356,사랑할 때와 죽을 때,"13,500원",750원,에리히 마리아 레마르크 저/장희창 역,민음사,"반전 소설의 대가 레마르크가 그려 낸 슬프고도 아름다운 사랑 이야기

『서부 전선 이상 없다』와 『개선문』 등으로 세계 대전의 참화를 겪은 동시대인들에게 뜨거운 울림을 선사하며 감동과 교훈을 동시에 주는 작가 레마르크의 또다른 전쟁소설로, 2차 대전 중 독일군 휴가병이 겪는 짧지만 아름다운 사랑을 그리며 전쟁의 끔찍함과 그럼에도 사그라지지 않는 인간의 희망을 담은 작품이다. 

2차 대전이 한창인 독일과 러시아의 전선, 독일군은 서서히 다가오는 패전의 그림자를 느낀다.",1,국내도서-소설/시/희곡
28,9788932920221,89969356,좀머 씨 이야기,"13,320원",740원,파트리크 쥐스킨트 저/유혜자 역/장자크 상페 그림,열린책들,"시대와 세대를 뛰어넘어 공감을 일으키는 쥐스킨트의 대표작 

한 소년의 눈에 비친 이웃 사람 좀머 씨의 기이한 인생을 담담하면서도 섬세한 필치로 그려 나간『좀머 씨 이야기』는 한 편의 동화 같은 소설이다. 소년에게는 ""좀머 아저씨""이자 동네 사람들에게는 ""그냥 좀머 씨""인 주인공은 텅 빈 배낭을 짊어지고 기다랗고 이상한 호두나무 지팡이를 쥔 채 끊임없이 길을 걷고 있는 중년이다. 그는 소년의 인생에서 결정적인 순간마다 우연히 만나게 되고, 소년의 마음속 깊이 각인된다. 비와 우박이 쏟아지는 어느 여름날에도, 좋아하는 여자 아이가 약속을 지킬 수 없게 되어 낭패감과 비참한 심정으로 집으로 돌아가는 길목에서도, 피아노 건반 위에 떨어진 선생님의 코딱지 때문에 엉뚱한 건반을 눌러 버려 호된 꾸지람을 듣고 자살을 하려 나무 위에서 뛰어내리려는 순간에도······. 

소년은 좀머 씨의 기이한 모습과 만나게 된다.",1,국내도서-소설/시/희곡
29,9791164456987,118599571,초판본 데미안 (리커버 한정판),"16,200원",900원,헤르만 헤세 저/이순학 역,더스토리,"1919년 오리지널 초판본 표지디자인
초호화 양장 블랙벨벳 에디션!
영혼의 성장 기록, 나를 찾아가는 길 『데미안』 

20세기 독일 문학가들 가운데 우리나라 독자들에게 가장 잘 알려진 작가를 꼽으라고 한다면 단연 헤르만 헤세일 것이다. 내면의 탐구자이자 자아 성찰의 대표 작가인 헤르만 헤세는 휴머니즘을 지향하며, 고뇌하는 청춘과 자연에 대한 동경, 인간의 양면성 등을 작품에 담았다. 도서출판 더스토리는 헤르만 헤르만 헤세의 대표작인 『데미안』을 초호화 양장 블랙벨벳 금장 에디션으로 제작하였다. 벨벳 특유의 고급스러운 색감과 감촉뿐만 아니라 1919년 출판된 독일 피셔 출판사의 초판본 표지디자인을 그대로 되살려 소장 가치를 한층 높였다. 또한 실로 꿰맨 정통적인 사철 제본을 통해 책의 내구성을 높이고 펼쳐 읽기도 편하게 만들었으며, 블랙벨벳을 더욱 돋보이게 하는 고급스러운 금박을 재현하고 금장 테두리를 둘러 오리지널 초판본의 품격과 가치를 담아냈다.",1,국내도서-소설/시/희곡
30,9788937461118,1440642,크눌프,"8,100원",450원,헤르만 헤세 저/이노은 역,민음사,"크눌프는 헤세의 여러 작품의 주인공들과 형제인 동시에 작가의 분신이기도 하다. 그는 직업과 결혼을 통한 평범하고 안정된 생활을 거부하고, 세상을 자유롭게 떠돌며 자연과 사람들을 관찰하고 자신의 방식대로 사랑한다. 『크눌프』가 처음 발표되었을 때 비평가들은 이 작품의 유려한 문체와 부드럽고 단순한 언어, 그리고 작품 속에 그려진 전원적인 풍경에 찬사를 보냈다. 또한 헤세는 그의 작품에 일관되게 나타나는 고독한 방랑자의 모습을 사실적이면서도 아름답게 그려냄으로써 결코 젊음이 충동과 낭만으로만 이루어진 것이 아...",1,국내도서-소설/시/희곡
31,9788954654418,67723866,싯다르타,"8,100원",450원,헤르만 헤세 저/권혁준 역,문학동네,"20세기에 가장 널리 읽힌 독일 작가 헤르만 헤세의 지혜와 사상이 녹아든 걸작 『싯다르타』가 문학동네 세계문학전집 173번으로 출간되었다. ‘인도의 시(詩)문학’이라는 부제와 함께 1922년 출간된 이 소설은 어린 시절부터 인도 문화를 비롯한 동양사상에 깊은 관심을 가졌던 헤세의 경험과 세계관이 문학적으로 형상화된 작품이다. ‘싯다르타’는 부처의 아명이나 작품 속에서는 실제 부처와 다른 소설적 인물로 묘사된다. 헤세는 이 작품을 집필하던 중 창작의 위기를 겪고, 일 년여 간의 자기 체험을 거친 후 비로소 소설을 완성했다. 이러한 자신의 경험을 녹여, 헤세는 싯다르타라는 한 인간이 평생에 걸쳐 정신적으로 성장해가는 과정, 세상의 근원을 향해 나아가는 구도의 여정을 그려내 보인다.",1,국내도서-소설/시/희곡
