순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
13,9791194591627,143793084,초판본 페스트,"3,590원",190원,알베르 카뮈 저/변광배 역,더스토리,"질병에 맞서는 인간의 원초적 본능!

노벨 문학상 수상 작가 알베르 카뮈가
바이러스와 싸우는 2020년의 인간들에게 던진 해법

“죽음 앞에서 인류의 직무 태만을 꼬집는 걸작”_ [가디언]

노벨문학상 수상작가 알베르 카뮈의 대표작
사회 부조리에 대한 묘사와 인간 심리를 사실적으로 묘사한 걸작

《페스트》는 《이방인》 《시지프 신화》 등으로 널리 알려진, 노벨 문학상 수상작가 알베르 카뮈의 대표작이다. 《페스트》는 ‘페스트’의 창궐로 위기에 빠진 오랑시의 시민들이 보여주는 다양한 삶의 방식에 대한 연대기다. 이 작품에서 문학적으로 형상화한 ‘페스트’는 분명 질병이다. 하지만 이 작품을 집필한 배경을 고려하면 ‘페스트’는 질병과 동시에 전쟁, 나치즘 등을 상징한다. 리외가 지적하는 것처럼 ‘페스트’는 언제라도 돌아올 수 있는 것이라면, ‘페스트’가 갖는 상징적 의미는 이와 같은 병리적, 사회·역사적 의미다.",1,국내도서-소설/시/희곡
14,9788937461446,2546383,연인,"8,100원",450원,마르그리트 뒤라스 저/김인환 역,민음사,"프랑스 현대 문학의 대표적 여성 작가 마르그리트 뒤라스의 공쿠르 상 수상작이자, 뒤라스 자신이 겪은, 베트남에서의 가난한 어린 시절과 중국인 남자와의 광기 서린 사랑을 섬세하고 생생한 묘사로 되살려 낸 자전적 소설이다. 가난한 환경에 대한 절망으로 무기력해진 어머니, 어머니의 편애를 받으며 마약과 노름에만 빠져 있는 난폭한 큰 오빠 그리고 늘 큰 오빠에게 시달리는 나약한 작은 오빠. 이 비정상적인 가족에 대한 혐오가 더해 갈수록 소녀('나')는 중국인 남자와의 관계에 더욱 몰입하고, 그 관계는 점점 광적인 욕망과 공...",1,국내도서-소설/시/희곡
15,9788954603096,2543067,어린 왕자,"10,800원",600원,앙투안 마리 로제 드 생텍쥐페리 저/김화영 역,문학동네,"비밀을 가르쳐줄게. 아주 간단한 거야. 
오직 마음으로 보아야 잘 보인다는 거야. 
가장 중요한 건 눈에 보이지 않아.

이 간단한 비밀을 잊고 산 지 얼마나 오래된 걸까. 
세상에서 가장 아름답고 슬픈 풍경 위로 쓰러진 ‘그’를 잊고 지낸 지는? 
어린 시절에 만났던 ‘그’의 이야기는 어쩌면 그저 슬프고 아름다운 동화였을지도 모른다. 그 먹먹하고 아련한 슬픔의 정체가 정확하게 무엇인지도 모르고 그저 슬프기만 했던……

김화영 선생이 번역한 '어린왕자'는 원본에 가장 가까운 형태로 출간된 1999년판 폴리오 판을 그...",1,국내도서-소설/시/희곡
16,9788974431143,58959070,나무를 심은 사람,"9,000원",500원,장 지오노 저/최수연 그림/김경온 역,두레,"전 세계 25개 언어로 번역된 세계적인 베스트셀러
문명과 환경의 심각한 위기 속에서 우리가 나아가야 할 방향을 가르쳐주고,
사람과 세상을 변화시키는 감동적이고 가슴 따듯한 소설!
국내 대표적인 삽화가 최수연의 아름다운 컬러 삽화로 다시 펴낸 개정판

문학적 향기와 메시지가 어우러진, 한 편의 탁월한 우화!

이 소설은 ‘희망을 심고 행복을 가꾼’ 한 사람이 메마르고 황폐한 땅에 홀로 수십 년 동안 나무를 심어 황무지를 생명이 살아 숨쉬는 숲으로 바꾸어놓는 이야기로, 작가가 자신의 경험을 바탕으로 첫 원고를 쓴 뒤 20여 년 동안 다듬어 완성한 작품이다. 1953년 처음 발표된 이래 지금까지 25개 언어로 번역되어 세계적으로 널리 읽히고 있다. 이토록 짧은 작품이 우리에게 깊은 감동과 울림을 주는 이유는 깊은 문학적 향기와 더불어 강력한 메시지를 전하기 때문이다.",1,국내도서-소설/시/희곡
17,9791194591399,143302645,초판본 야간 비행,"2,690원",140원,앙투안 드 생텍쥐페리 저/윤정임 역,더스토리,"1931년 페미나 문학상 수상,
어린 왕자의 작가 생텍쥐페리의 두 번째 대표작 《야간 비행》
노벨 문학상 수상작가 앙드레 지드의 서문 수록

진정한 모험가 생텍쥐페리가 써 낸 21세기의 새로운 영웅 서사시!
한계와 역경, 비극에 맞서 싸우는 인간의 고귀함 

1931년에 출간된 생텍쥐페리의 두 번째 소설 《야간 비행》은 발표 즉시 독자와 평단의 호평을 받으며 그해 페미나(Femina) 상을 수상했다. 특히 이 작품은 대문호 앙드레 지드의 찬탄으로 더욱 빛을 발했으며 곧 전 세계에 번역되어 1933년에는 영화로도 제작되었다.

생텍쥐페리는 1920년 공군에 입대해 조종사 훈련을 받고 1926년에 프랑스 항공사에 입사한다. 1929년에 아르헨티나 야간 항로 개발에 참여하게 된 그는 당시의 경험을 통대로 이 작품을 탄생시켰다.",1,국내도서-소설/시/희곡
18,9791189356934,117862086,자살,"14,400원",800원,에두아르 르베 저/한국화 역,워크룸프레스,"프랑스 작가 에두아르 르베의 『자살』(한국화 옮김)이 워크룸 문학 총서 ‘제안들’ 31권으로 출간되었다. 사진과 글을 주요 매체로 삼아 활동한 에두아르 르베는 개념적인 작업에 몰두한 작가였다. 자신에게 영향을 준 예술가들과 이름이 같은 이들을 전화번호부에서 찾아 찍고, 유럽의 도시와 이름이 같은 미국의 도시를 촬영하고, 전형적인 인물들의 포즈나 회화, 꿈속 장면 등을 현실의 사진으로 재구성했던 그는 2002년 533개 작품 아이디어를 모은 『작품들』을 출간하면서 문학가로서의 이력을 시작했다. 이 책 『자살』은 에두아르 르베가 자살한 이듬해에 출간된 책으로, 그가 자살하기 며칠 전 송고한 글이다.",1,국내도서-소설/시/희곡
19,9791197153327,97928114,나만의 필사책 어린 왕자,"16,920원",940원,앙투안 드 생텍쥐페리 저/박선주 역,마음시선,"나만의 손글씨와 그림으로 
세상에서 단 하나뿐인 ‘어린 왕자’를 만나다

마음을 다해 쓰는 글씨 [나만의 필사책] 시리즈를 여는 첫 책. [나만의 필사책] 시리즈는 나에게, 친구에게, 자녀에게, 내 곁의 소중한 사람들에게 선물하고 싶은 책을 만들고 싶다는 생각에서 출발했다. ‘책은 어렵다’, ‘취향을 탄다’는 편견을 깨트리고, 좀 더 많은 이들이 책을 편하고 쉽게 접하길 바라는 마음으로 우리에게 친숙한 『어린 왕자』로 필사책을 만들었다. 

독서를 처음 시작하는 아이들도 편안하게 느낄 수 있도록 책 전체에 따뜻한 색감을 사용했으며, 글씨를 썼을 때 뒷장에 비침이 적도록 두꺼운 본문 종이를 사용했다. 아름다운 삽화를 따라 그릴 수 있도록 그림이 들어간 곳에는 칸을 크게 비워두었고, 하루에 한 페이지씩 부담 없이 따라 쓸 수 있도록 각 페이지가 끝나는 곳을 맺음말로 편집했다.",1,국내도서-소설/시/희곡
20,9788984374942,140075936,미로 속 아이,"16,650원",920원,기욤 뮈소 저/양영란 역,밝은세상,"기욤 뮈소 데뷔 20주년 기념작 『미로 속 아이』 출간



- 범인은 예측 불가의 영역에 있다. 

- 서스펜스 마스터 기욤 뮈소의 2024년 신작!

- 프랑스 베스트셀러 1위!



기욤 뮈소가 작가로 데뷔한 지 20년이 되었다. 『미로 속 아이』는 기욤 뮈소 데뷔 20주년 기념작으로 작가의 고향 앙티브에서는 새로운 소설 출간과 더불어 그가 쌓아온 업적을 기리는 행사가 열렸다. 기욤 뮈소의 데뷔 20주년 기념작 출간에 발맞춰 앙티브에 그의 이름을 딴 학교가 문을 열었고, 프랑스 언론들은 대대적인 인터뷰 릴레이를 벌이며 그가 20년 동안 남긴 발자취를 조명했다.



매년 『르 피가로』와 〈프랑스서점연합회〉에서 조사하는 베스트셀러 작가 순위에서 8년 연속 1위를 기록했을 만큼 기욤 뮈소의 소설은 지난 20년 동안 프랑스에서 어느 누구도 이루지 못한 성과를 남겼다.",1,국내도서-소설/시/희곡
21,9788937454769,124260842,내 식탁 위의 개,"16,200원",900원,클로디 윈징게르 저/김미정 역,민음사,"2022년 페미나상 수상작

“눈가에 눈물이 맺힌 채로도 나는 끄떡없이 글을 쓴다.”

숲속 늙은 부부 앞에 나타난 학대당한 개 한 마리
그 개가 가르쳐 준 광대한 세계와 그 세계를 사랑하는 법에 관하여 

세상과 멀리 떨어진 숲속에서 단둘이 살아가는 늙은 부부 앞에 어느 날 학대당한 개 한 마리가 나타난 후 두 사람의 일상과 마음에 일어나는 변화를 감동적으로 그린 2022년 페미나상 수상작 『내 식탁 위의 개』가 민음사에서 출간되었다. 저자인 클로디 윈징게르는 올해 여든세 살의 작가이자 조형 예술가로 한국에는 처음 소개된다. 70세라는 늦은 나이에 소설가로 데뷔했으나 그는 이미 1970년대부터 알자스 지방 보주산맥에 있는 방부아 숲에서의 삶을 이야기한 책들을 발표하고 또 이와 관련한 일련의 조형 예술 활동을 활발히 해 온, 프랑스에서는 유명한 예술가이다.",1,국내도서-소설/시/희곡
22,9788937464652,144490579,안과 겉·결혼·여름,"13,500원",750원,알베르 카뮈 저/김화영 역,민음사,"마흔네 살이란 젊은 나이에 신화가 된, 실존주의 문학을 대표하는 작가 알베르 카뮈. 
모든 작품의 원천 「안과 겉」, 자연과 인간의 합일 「결혼」, 지중해의 추억 「여름」 수록

“삶에 대한 절망 없이는 삶에 대한 사랑은 없다.”

* 카뮈는 신화가 되었다. 그를 인정하느냐 안 하느냐는 이제 별 의미가 없다. -롤랑 바르트
* 카뮈는 살아 있을 때 그렇게도 벗어나고자 했던 바로 그 주춧돌 위에 지금 올라와 있다. -파트리크 모디아노
* 카뮈의 위대함은 일탈에서 나오는데, 이 일탈은 그의 위대함의 자연스러운 표현일 뿐이다. -장 그르니에
* 끊임없이 자신을 찾고 자신에게 질문을 던지는 영혼에게 인사를 드린다.",1,국내도서-소설/시/희곡
23,9788937486104,7957394,레 미제라블 세트,"47,700원","2,650원",빅토르 위고 저/정기수 역,민음사,,1,국내도서-소설/시/희곡
24,9791196554866,105751260,패배의 신호,"19,800원","1,100원",프랑수아즈 사강 저/장소미 역,녹색광선,"『패배의 신호』(La Chamade)는 1965년 막 서른 살이 된 프랑수아즈 사강이 『신기한 구름』(1961) 이후 4년 만에 출간했던 여섯 번째 소설이다. 두 번의 결혼과 두 번의 이혼, 그 사이의 수많은 연애를 거치고 난 다음이었고, 한 아이의 어머니가 된 이후였다. 그녀는 “모르는 것은 쓸 수가 없다. 느끼지 못하는 것도 쓸 수가 없다. 체험하지 않은 일은 쓸 수가 없다""고도 말했다. 그렇다면 『슬픔이여 안녕』을 내놓은 이후 11년이 지나 삼십 대로 접어든 시점에서 사강의 작품 세계는 어떻게 달라져 있었을까?

사강은 앞선 작품들과 마찬가지로 여전히 사랑과 이별이라는 주제를 다루고 있지만, 이 작품 『패배의 신호』에서는 보다 깊어진 관능성을 보여 준다. 전작들보다 훨씬 구체적인 사랑과 욕망의 장면들이 촘촘하게 표현됨과 동시에 인간이 타인에게 매혹되었을 때 발현되는 심리의 묘사가 작품을 가득 채운다.",1,국내도서-소설/시/희곡
25,9788954619585,7977274,단순한 열정,"9,000원",500원,아니 에르노 저/최정수 역,문학동네,"이별과 외로움이라는 무익한 수난
그 수난을 겪은 사람들의 속내를 쓰다

프랑스의 문제적 작가 아니 에르노가 1991년 발표한 『단순한 열정』은 연하의 외국인 유부남과의 사랑을 다루며 그 서술의 사실성과 선정성 탓에 출간 당시 평단과 독자층에 큰 충격을 안겨준 작품이다. 임상적 해부에 버금가는 철저하게 객관화된 시선으로 ‘나’라는 작가 개인의 열정이 아닌 일반적이고도 보편적인 열정을 분석한 반(反)감정소설로, “이별과 외로움이라는 무익한 수난”을 겪은 모든 사람들의 속내를 대변한다. 2001년 국내에 처음 소개되어 꾸준히 사랑받아온 작품으로, 이번 문학동네 세계문학전집에 새롭게 속하며 이재룡 문학평론가이자 숭실대 불문과 교수의 해설이 더해져 르노도상, 마르그리트 뒤라스상, 프랑수아 모리아크상 등을 수상하고 생존 작가로는 최초로 갈리마르 총서에 편입된 아니 에르노만의 독보적인 작품세계에 대한 이해도 더할 수 있게 되었다.",1,국내도서-소설/시/희곡
26,9788937463211,13215682,육체의 악마,"10,800원",600원,레몽 라디게 저/원윤수 역,민음사,"스무 살에 생을 마감한 천재 작가 레몽 라디게가 17세에 발표한 심리 소설의 역작 
한 소년의 위험한 사랑과 열정, 그리고 전쟁 앞에 내몰린 인간 내면에 대한 통찰 

1차 세계 대전 종전 오 년 후에 출간된 레몽 라디게의 문제작 『육체의 악마』가 민음사 세계문학전집으로 출간되었다. 이 작품은 열여섯 살 소년과 군인 아내의 비도덕적 사랑을 주제로 했다는 점, 이러한 이야기를 쓴 작가가 불과 열일곱 살에 지나지 않는다는 점에서 당시 프랑스 사회를 큰 충격에 빠뜨렸다. 사춘기 소년의 자기중심적인 욕망, 손에 잡히지 않는 충동, 모순되지만 솔직한 내면 심리를 섬세하고도 간결하게 묘사해 낸 라디게는 『육체의 악마』를 통해 전쟁으로 확산된 무위(無爲), 허무주의 속에 내몰린 인간의 불안정한 심리를 훌륭하게 그려 내며 프랑스 고전주의 소설을 새롭게 부활시킨 동시에 완성해 냈다고 평가받는다.",1,국내도서-소설/시/희곡
27,9791197182204,96174953,애린 왕자,"9,900원",550원,앙투안 드 생텍쥐페리 원저/최현애 저,이팝,"원작 『어린 왕자』는 전세계 독자들에게 기억 속 이야기를 너머 하나의 체화된 전설로 자리잡고 있다. 주인공 어린 왕자의 언어와 행동은 동심과 유년의 순수함으로 어른들의 세계를 투명하게 비춰준다. 1943년 출간 후 어른들을 위한 동화이자 세계적 고전으로 자리잡으면서 대체 불가, 설명 불가, 해석 불가한 이야기로 독자들의 사랑을 꾸준히 받고 있다.

사투리로 재해석한 『애린 왕자』는 언어 실험의 일환으로 세월에 엷어지는 동심을 소환하는 새로운 형식을 보여준다. 역자는 원작의 감동을 전달하기 위해 언어 너머 프랑스어와 영어, 표준어를 거쳐 오롯이 경상도 사투리로 원문을 담았고 이 과정에서 지역 정서가 녹아든 개성 있는 동심을 정감 넘치는 사투리로 만날 수 있다. 또 발음에 충실한 사투리 표기로 맞춤법을 깨트리는 일탈과 재미도 만끽할 수 있다.

『애린 왕자』는 도서출판 이팝의 첫 단행본이자 앙투안 드 생텍쥐페리의 탄생 120주년을 기념해 출간된 책이다.",1,국내도서-소설/시/희곡
28,9788931021516,96651059,구토,"13,500원",750원,장 폴 사르트르 저/임호경 역,문예출판사,"20세기 프랑스의 대표적 지성, 사르트르 사상의 출발점 『구토』
“사르트르의 철학 저작 중 단연 가장 중요한 책!” _한나 아렌트 

사르트르의 대표작 『구토』가 역자 임호경의 새로운 번역으로 출간되었다. 원문의 의미를 살리면서도 가독성을 높인 매끄러운 번역으로 20세기 걸작 『구토』를 제대로 이해하게 해준다. 프랑스 갈리마르 출판사와 정식 계약해 출간하는 국내 완역본이다. 

『구토』는 사르트르가 그의 철학적 사유와 체험을 문학으로 형상화한 작품이다. 주인공 앙투안 로캉탱은 고독한 사람의 전형이다. 연금생활자만큼의 돈은 가지고 있지만 섬겨야 할 상관도, 아내도, 자식도 없는 ‘낙오자’다. 그는 어느 날 바닷가에서 물수제비 놀이를 하려고 돌멩이를 집어 던지려는 순간에 모종의 불쾌감을 느끼고 후일 그때의 느낌을 ‘구토’로 명명한다.",1,국내도서-소설/시/희곡
29,9788937460180,1272,고리오 영감,"9,000원",500원,발자크 저/박영근 역,민음사,"비판적 사실주의 문학의 선구자 오노레 드 발자크
인간 군상의 비루함과 속물근성을 적나라하게 드러낸 소설
놀라운 통찰력으로 역사의 방향을 미리 제시한 가장 발자크다운 작품

“그래, 너희들이 내 심장을 잘라버려도 소용없지. 잘린 심장 토막들도 역시 아비의 심장일 테니까.”

외젠 드 라스티냐크는 20대 초반의 법학도로 가난한 귀족 집안 출신이다. 그는 성공을 꿈꾸며 파리로 유학 와 보케르 부인의 하숙집에 기거하지만 파리 사회에서 성공하기에는 재력도 수완도 부족하다. 그러던 중 그는 먼 친척 보세앙 자작 부인의 도움으로 지금까지 그가 몸담고 있었던 사회와 전혀 다른 파리 사교계에 발을 들여놓게 된다. 한편 라스티냐크의 하숙집 옆방에는 고리오 영감이 살고 있다. 라스티냐크는 그가 왕년에 제면업으로 큰돈을 벌었을 뿐 아니라, 레스토 백작 부인과 뉘싱겐 남작 부인의 아버지라는 사실을 알고 자신의 출세 수단으로 삼으려 한다.",1,국내도서-소설/시/희곡
