순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
11,9791168342958,147561135,"다시, 몸으로","15,750원",870원,"김초엽,김청귤,천선란,저우원,청징보,왕칸위 저/김이삭 역",래빗홀,"“우리가 빼앗겼던, 죽여야 했던 몸을 돌려주고 싶어”

2025 상하이번역문학출판사 출간 확정
한국과 중국 여성 SF작가 6인의 신체성에 관한 사유와 탐색

몸이라는 소우주와 세계라는 대우주를 그려낸 한 권의 책. _김이삭(소설가, 번역가)
‘몸’의 무게와 함께, 우리가 몸을 가진 존재이기에 대면하는 자유를 이야기한다. _심완선(SF평론가)

한국과 중국의 여성 SF 소설가 여섯 명이 ‘신체성’이라는 주제에 각자의 개성을 담아낸 단편소설을 선보이는 《다시, 몸으로》가 출간되었다. 한국에서는 올여름 서울국제도서전을 앞두고 출판사 인플루엔셜의 문학 브랜드 래빗홀에서 출간되며, 중국에서는 상하이번역문학출판사(上海?文出版社)에서 올해 8월 현지의 문학주간 행사에 맞추어 출간될 예정이다.",1,국내도서-소설/시/희곡
12,9788937463648,102350758,개구리,"14,400원",800원,"모옌 저/심규호,유소영 공역",민음사,"하늘에서 내리는 비를 가둘 수 없듯, 여자가 아이를 낳는 일도 절대 막아서는 안 된다
국가를 위한 개인의 희생은 어디까지 정당화될 수 있는가
포크너, 마르케스에 비견되는 현대 문학의 거장 모옌 대표작

중국의 산아 제한 정책인 ‘계획생육’을 정면으로 다뤄 커다란 반향을 일으킨 이 작품은 화자인 커더우가 일흔이 넘은 고모를 회상하며 시작한다. 산부인과 의사인 고모 ‘완신’은 가오미 둥베이향에서 오십 년 동안 1만 명이 넘는 아이를 받은 전설적인 인물이다. 젊은 시절 고모는 혁명 열사의 딸이라는 출신 성분에 신식 의술까지 배운 전도유망한 신여성이었다. 그러나 공군 조종사였던 약혼자가 타이완으로 망명하자 앞날에 어두운 그림자가 드리운다. 설상가상으로 정부에서 계획생육을 강압적으로 실시하면서 고모는 정관 수술과 임신 중절 수술에 나서게 되고, ‘살아 있는 염라대왕’이라는 별명과 함께 사람들의 비난과 저주에 시달린다.",1,국내도서-소설/시/희곡
13,9788954614122,4689981,아Q정전,"11,700원",650원,루쉰 저/자오옌녠 그림/이욱연 역,문학동네,"중국 근대문학의 선구자 루쉰의 대표작. 
근대 중국 민중의 슬픈 자화상, 아Q의 욕망과 좌절.

청조 말기, 신해혁명 전후의 중국사회를 아Q라는 시골 날품팔이를 주인공으로 삼아 그려낸 소설. 중국을 변혁하기 위해서는 잠들어 있는 민중의 활력을 일깨우는 것이 최우선이라 생각했던 루쉰은 이 작품을 통해 지난날의 영광에 머물러 현실을 직시하지 못하는 당시 중국인들의 상황, 과거의 환상에 의지해 살아가는 자기위안적인 모습을 날카롭게 비판한다.",1,국내도서-소설/시/희곡
14,9791156754305,122280147,허삼관 매혈기,"15,120원",840원,위화 저/최용만 역,푸른숲,"전 세계인의 마음을 울린 위대한 작가 위화
등단 40주년 기념 『인생』 『허삼관 매혈기』 개정판 출간!

현대 고전의 반열에 오른
‘삶’이 계속되는 한 영원히 유효한 이야기

전 세계적으로 중국 현대문학을 대표하는 작가 위화의 등단 40주년을 맞아 대표작 『인생』, 『허삼관 매혈기』 개정판이 도서출판 푸른숲에서 출간되었다. 2007년 3판 출간 이후 무려 16년 만의 개정이다. 1996년 국내 첫 출간 이후 지난 30여 년간 여러 세대를 통과하면서도 줄곧 큰 사랑을 받아온 두 작품을 새 모습으로 만나볼 수 있게 되었다. 내부적으로는 번역가 최용만과 백원담이 완성도에 심혈을 기울여 문장을 다시 세밀히 손보았으며, 외부적으로는 전통적 디자인에서 탈피해 모던한 디자인으로서 고전의 면모를 강조하였다.

위화는 노벨문학상을 수상한 모옌, 루쉰문학상을 수상한 옌렌커와 함께 중국 현대문학을 대표하는 거장이다.",1,국내도서-소설/시/희곡
15,9791160079166,119692776,망내인,"17,550원",970원,찬호께이 저/강초아 역,한스미디어,"진실을 분별하지 못하는 시대
우리는 모두 ‘네트워크에 사로잡힌 사람들’

『13·67』로 한국 추리소설계를 뜨겁게 달궜던 찬호께이가 700쪽이 넘는 대작을 들고 돌아왔다. 『13·67』 이후 이 작품에 2년간 심혈을 기울인 찬호께이는 더욱 성숙해진 서사, 교묘하고 정밀한 구성, 독자의 마음을 파고드는 묘사로 우리 앞에 다이아몬드처럼 찬란한 걸작을 데려왔다. 그가 짜낸 촘촘한 그물망은 우리를 가두고 힘껏 발버둥 쳐도 빠져나가지 못하게 한다. 이번 작품의 제목은 『망내인』, 우리 식으로 풀자면 ‘네트워크 인간’이다. 이야기의 무대는 『13·67』과 마찬가지로 홍콩. 다만 『13·67』이 홍콩의 역사를 2013년에서 시작해 1967년까지 역순으로 밟아나갔다면 이번 『망내인』은 2015년도에 일어난 사건을 다룬다. 그리고 그 사건은 지역과 나라를 뛰어넘어 동시대성을 확보한다.",1,국내도서-소설/시/희곡
16,9788925568799,89240892,이문열 삼국지 1,"16,200원",900원,나관중 저/이문열 평역/정문 그림,알에이치코리아(RHK),"이문열 평역 삼국지 30년 만의 개정 신판 출간! 
독보적인 문장으로 읽는 우리 시대의 삼국지 

누적판매 2,000만 부
우리 시대를 대표하는 『이문열 삼국지』가 
현대적인 감각으로 다시 돌아왔다!

젊은 세대를 위해 내용을 손보고, 한자어 독음을 달아 읽기 쉬운 『삼국지』

1988년 출간된 이래 누적판매 2,000만 부라는 대기록을 세운『이문열 삼국지』가 출간 30여 년 만에 새롭게 출간된다. 나관중 판본을 기본으로 하여 우리 시대 대표 작가인 이문열의 글맛으로 살려낸 『이문열 삼국지』는 오랫동안 최고의 고전으로 사랑받아왔다. 무수한 평역본 중 특히 이 책이 한 세대를 넘어서까지 생명력을 가질 수 있었던 것은, 이문열 작가 특유의 날카로운 문장과 흡입력 있는 구성이 돋보였기 때문이다. 방대한 서사와 영웅호걸들의 이야기들을 지루하지 않게, 다음 권을 넘겨보게 만들어 삼국지를 처음 접한 이들도 충분히 재미있게 읽을 수 있었던 것. 더불어 다른 판본에서는 삭제되거나 경시된 ‘시’, ‘평’ ‘표’ 등 중국 문학의 특징을 고스란히 살려낸 서사와 문학적 힘이 발휘된 덕분이기도 하다. 

이번 개정 신판에서는 이런 장점은 유지하면서, 지난 30년간 독자들에게서 받은 질문과 평역자 자신이 계속하여 고민하였던 내용들을 새롭게 손보고, 요즘 세대도 쉽게 읽을 수 있도록 한자어의 독음과 주석을 달았으며, 의미가 명확한 한자어는 병기하지 않음으로써 좀 더 읽기 쉽도록 고쳤다. 작가는 수개월에 걸쳐 한 글자 한 글자를 곱씹으며 문장을 다시 만졌다. 여기에 타이완의 유명 화가인 정문(鄭文) 작가의 그림을 함께 수록하여 보는 즐거움을 배가했다. 독특한 화풍으로 삼국지의 각 인물과 주요 사건을 그려낸 정문의 그림은 삼국지 특유의 서사를 더욱 돋보이도록 만들어준다. ",1,국내도서-소설/시/희곡
17,9791190147774,105746654,고정욱 삼국지 세트,"128,700원","7,150원",고정욱 평역,애플북스,"꿈을 잃은 청소년의 가슴을 두드려라! 
한 번뿐인 인생, 하나뿐인 영웅 서사 
주석으로 쉽게 읽는 최초의 삼국지!
고정욱 작가의 친절한 주석과 고증을 통한 일러스트로 더 완벽해진 삼국지

그동안 어린이와 청소년 독자들의 마음을 사로잡으며 인기작가 반열에 오른 고정욱 작가가 장장 5년에 걸쳐 심혈을 기울여 작업한 『고정욱 삼국지』(전 10권)를 펴냈다. 두말할 나위 없이 『삼국지』는 중국 오천 년 역사에서 가장 유명한 작품일 뿐 아니라 손에 꼽는 고전으로 자리 잡고 있다. 조조의 위, 유비의 촉, 손권의 오가 대륙을 삼등분 해 서로 치열하게 싸우고 때로 손잡으며 천하를 도모하던 시절은 말 그대로 인생의 한 축도이자, 영웅들이 쏟아져 나와 대륙을 종횡무진 누비며 우리 가슴을 뛰게 만든 영웅 서사다. 

『삼국지』의 원천은 정사인 진수의 『삼국지 三國志』다. 후한 말기부터 서진이 중국 대륙을 통일할 때까지 100여 년 동안의 격동기를 기술한 역사서다.",1,국내도서-소설/시/희곡
18,9788936479466,123239865,아Q정전,"11,700원",650원,루쉰 저/전형준 옮김,창비,"『교수신문』이 선정한 최고의 번역본
루쉰의 색다른 역작 「상서」를 추가 수록한 개정증보판 출간!

중국 현대소설의 선구자, 시대의 사상가로 평가받는 루쉰의 주요작들을 가려 뽑은 루쉰 소설선 『아Q정전』이 개정증보판으로 독자들을 만난다. 이 책은 1996년 초판 출간 이래 루쉰 문학에 접근하기 위한 가장 빼어난 필독서로 꼽히며, 청소년부터 성인까지 여러 독자층에 두루 사랑받아 왔다. 이번 개정증보판은 루쉰의 색다른 역작 「상서傷逝」를 추가 수록했을 뿐 아니라 표지와 장정을 새로운 시대에 맞추어 재단장함으로써 신선한 감각을 느끼게 한다. 무엇보다 루쉰 전문가들이 가장 신뢰하는 번역으로 선정한 바 있는 전형준 역자의 간결하고 깊이 있는 문장이 소설의 의미와 뉘앙스를 충실히 드러낸다. 로맹 롤랑, 오에 겐자부로, 위화 등 세계적인 작가들의 찬사를 받은 루쉰 문학의 정수를 깔끔하고 유려한 우리말로 만나 보자.",1,국내도서-소설/시/희곡
19,9788937464539,140476242,"색, 계","13,500원",750원,장아이링 저/문현선 역,민음사,"루쉰 이후 중국 현대 문학을 대표하는 작가, 장아이링 
베니스 국제 영화제 황금사자상 수상한 리안 감독 영화 「색, 계」 원작 소설 포함 
다섯 편의 걸작 단편 수록

“나는 남자 여자 사이의 작은 것들에 대해서만 글을 씁니다. (…) 나는 사람들이 연애할 때 
전쟁이나 혁명을 할 때보다 더 단순하고 대담해진다고 생각합니다.” ─ 장아이링

중국 현대문학을 대표하는 작가 장아이링의 단편선 『색, 계』가 민음사 세계문학전집으로 출간되었다. 리안 감독의 대표작이자 양조위, 탕웨이 배우가 열연하여 화제를 모았던 영화 「색, 계」의 원작 소설 「색, 계」(1979)가 표제작이다. 이 소설은 장아이링이 친일파 난징 정부의 관료였던 첫 번째 남편에게서 전해 들은 실화를 바탕으로 썼다.",1,국내도서-소설/시/희곡
20,9791127864552,109581606,천관사복 2,"13,500원",750원,묵향동후 저/고고 역,B-lab(디앤씨미디어),"여군산에서 ‘귀신 신랑’ 사건을 해결하고 보제관으로 돌아온 사련.
사련은 평소와 같이 운이 없는 하루를 삼랑과 함께 잘 극복하며 평화로운 일상을 보낸다.
그러나 그 평온한 시간도 잠시, 누군가가 의도적으로 보낸 전언을 받고 
함정인줄 알면서도 사건의 중심지인 ‘반월관’으로 향한다.

이번에도 함께하게 된 두 어린 신관과 우여곡절 끝에 반월관에 도착한 사련 일행.
사련은 그곳에서 예상치 못한 인물과 조우하게 된다.",1,국내도서-소설/시/희곡
21,9791194293033,133756957,"낭만 수의사, 희망을 처방합니다","15,300원",850원,린리신 저/차혜정 역,모모,"‘슬기로운 의사생활’ 수의사 버전 탄생!  
대만 TV 드라마 제작 확정! 

수의사 출신 작가가 생생하게 그려낸
수의대생들의 좌충우돌 인턴기

TV 시리즈 ‘슬기로운 의사생활’을 재미있게 본 사람이라면 단연코 빠져들 수밖에 없는 한 편의 드라마 같은 소설이 등장했다. 실제 수의사인 저자가 자기 경험을 녹여내어, 의국 생활을 생동감 넘치게 그려냈다는 극찬을 받은 《낭만 수의사, 희망을 처방합니다》가 바로 그 작품이다. 이 책은 제5회 대만문화부 TV 프로그램 극본 창작상을 수상, 대만에서 드라마 제작을 확정 지었다. ",1,국내도서-소설/시/희곡
22,9791127864545,109581474,천관사복 1,"13,500원",750원,묵향동후 저/고고 역,B-lab(디앤씨미디어),"만인의 사랑을 받는 선락국의 금지옥엽 태자 사련.
누구보다 빠르게 선경에 오르나
한순간에 법력이 봉인된 채 인간 세상에 떨어진다.

그렇게 신선과 인간의 경지를 수차례 오가던 사련은
‘공덕’을 모으기 위해 인간 세상으로 내려가게 되고……
어느 날 고물을 줍고 돌아오는 길에
신비한 소년 ‘삼랑’을 만나
이 범상치 않은 소년과 함께 지내기로 한다.",1,국내도서-소설/시/희곡
23,9791127864569,109581661,천관사복 3,"13,500원",750원,묵향동후 저/고고 역,B-lab(디앤씨미디어),"반월관의 일을 마무리하러 선경에 오른 사련은 보고를 마치고,
삼계의 제일 무신 ‘군오’에게서 행방불명이 된 ‘지사’를 찾는 임무를 받는다.
사련은 풍사, 낭천추와 함께 지사의 마지막 흔적이 남은 ‘귀시장’에 잠입하게 된다.
귀시장은 화성의 지반으로, 사련 일행은 이번에도 예기치 못한 사건에 휘말린다.
그리고 그들은 뜻하지 않게 화성의 ‘극락방’을 화려하게 태우며 붙잡혀 있던 지사와 탈출한다.

하지만 곧 뒤따라온 화성이 사련을 이끌고 어디론가 향하는데……
그곳에서 사련은 사촌 동생이자 귀계의 존재가 되어버린 ‘척용’을 만나게 된다. 
곧이어 사련을 쫓아온 풍사와 낭천추가 도착하고, 
그들은 척용의 입에서 사련과 낭천추의 모국인 
‘선락국’과 ‘영안국’에 얽힌 진실과 마주하게 된다.",1,국내도서-소설/시/희곡
24,9791127864576,109581674,천관사복 4,"13,500원",750원,묵향동후 저/고고 역,B-lab(디앤씨미디어),"800년 전, 고작 열일곱 살에 유랑을 떠난 선락국 태자 사련은
일념교에서 이름 없는 귀혼과 겨루어 대승을 거두었고,
그렇게 천둥과 번개가 내리치는 가운데 삼계를 뒤흔들며 선경에 올랐다.
사련의 등선에 선락국 전체가 열광하며 
전국에 사당이 세워지고 모두에게 사랑 받았다.

하지만 모든 일에는 반드시 흥망성쇠가 있듯이,
선락국 역시 쇠락의 조짐을 보이며 내부에서 점점 균열이 일어난다.
날이 갈수록 부족해지는 물, 내리지 않는 비.
가장 타격을 입은 ‘영안’ 지역 사람들은 살기 위해 선락 황성으로 이주한다.
계속되는 이주민들을 감당하지 못한 황성은 결국 영안인들을 내쫓고
그들은 목숨을 걸고 황성과 전쟁을 시작한다.

한편 사태의 심각함을 더 이상 두고 볼 수 없었던 사련은
선계의 금기를 어기고 황성 백성들 앞에 모습을 드러낸다.",1,국내도서-소설/시/희곡
25,9788954605038,2961080,위미(玉米),"15,300원",850원,비페이위 저/백지운 역,문학동네,"국내에 처음으로 소개되는 비페이위의 장편소설 『위미』. 위미, 위슈, 위양. 생존의 극한까지 내몰린 세 소녀, 세 자매의 인생 역정을 통해 그 어떤 작가보다 생생하고 강렬하게 지난 1970년대 중국의 일상 풍경을 되살려낸 소설로, 비페이위에게 두번째 루쉰문학상을 안겨준 작품이기도 하다.

비페이위는 위미, 위슈, 위양 세 자매의 힘겨운 삶의 릴레이경주를 통해 고통스러운 운명과 비극적 현실로부터 벗어나려고 안간힘을 쓰는 인간의 생존 양태를 가감 없이 보여준다.",1,국내도서-소설/시/희곡
26,9788932403427,3099141,루쉰 소설 전집,"13,500원",750원,루쉰 저/김시준 역,을유문화사,"을유문화사의 새로운 세계문학전집 중 열두 번째 책인 『루쉰 소설 전집』. 평생을 중국 현대문학에 천착해 온 역자가 루쉰 소설의 감동을 되살린 번역본이다. 『루쉰소설전집』은 중국이 낳은 세계적 대문호 루쉰의 소설을 집대성한 책으로, 루쉰은 강렬한 민족의식에 기반을 둔 작품을 통해 후대의 문학사조나 형식 면에서 큰 영향력을 행사하였다.",1,국내도서-소설/시/희곡
27,9791127864613,110434630,천관사복 8,"13,500원",750원,묵향동후 저/고고 역,B-lab(디앤씨미디어),"‘동로’의 중심으로 향하던 일행은 각자의 사정으로 잠시 흩어진다.
화성과 사련은 눈으로 뒤덮인 동로를 오르다 말싸움 중인 남풍과 부요를 발견하지만,
곧 두 사람이 지르는 소리에 자극을 받은 설산이 눈사태를 일으키고
결국 네 사람은 꼼짝없이 눈덩이에 휩쓸리게 된다.

정신을 차린 그들은 어느 석굴에서 눈을 뜨고, 그곳에서 화성의 비밀을 엿보게 된다.
그리고 사련의 눈앞에는 기억 속 ‘누군가’가 나타나 
악몽 같은 과거가 다시 한번 되살아난다.

과거, 선락국이 멸망한 직후 국주와 황후를 모시고 도망치며 점점 지쳐 가던 사련은
하나둘 자신의 곁을 떠나가는 사람들에게 절망했다.",1,국내도서-소설/시/희곡
